taxonId,scientificName,taxonRank,vernacularName,preferred,source
1918988,Phyciodes tharos,species,Pearl Crescent,,Integrated Taxonomic Information System (ITIS)
1947915,Epargyreus clarus,species,Silver-spotted Skipper,,Integrated Taxonomic Information System (ITIS)
1947915,Epargyreus clarus,species,silverspotted skipper,,Integrated Taxonomic Information System (ITIS)
5977179,Erynnis persius,species,Persius Duskywing,,Integrated Taxonomic Information System (ITIS)
1942994,Euphyes dion,species,Dion Skipper,,Integrated Taxonomic Information System (ITIS)
1922223,Erora laeta,species,Early Hairstreak,,Integrated Taxonomic Information System (ITIS)
1898402,Libytheana carinenta,species,American Snout,,Integrated Taxonomic Information System (ITIS)
1898286,Vanessa atalanta,species,Red Admiral,,National checklists and red lists for European butterflies
5130696,Nymphalis californica,species,California Tortoiseshell,,Integrated Taxonomic Information System (ITIS)
5714558,Lycaena hyllus,species,Bronze Copper,,Integrated Taxonomic Information System (ITIS)
5129451,Polygonia interrogationis,species,Question Mark,,Integrated Taxonomic Information System (ITIS)
5714747,Satyrium edwardsii,species,Edwards' Hairstreak,,Integrated Taxonomic Information System (ITIS)
1947335,Carterocephalus palaemon,species,Arctic Skipper,,Integrated Taxonomic Information System (ITIS)
1947335,Carterocephalus palaemon,species,Chequered Skipper,,Catalogue of the Lepidoptera of Belgium
1947335,Carterocephalus palaemon,species,Arctic Skipperling,t,Dyntaxa. Svensk taxonomisk databas
1946999,Atrytonopsis hianna,species,Dusted Skipper,,Integrated Taxonomic Information System (ITIS)
5977207,Erynnis brizo,species,Sleepy Duskywing,,Integrated Taxonomic Information System (ITIS)
5142273,Hesperia leonardus,species,Leonard's Skipper,,Integrated Taxonomic Information System (ITIS)
5142298,Hesperia metea,species,Cobweb Skipper,,Integrated Taxonomic Information System (ITIS)
4301831,Amblyscirtes hegon,species,Pepper and Salt Skipper,,Integrated Taxonomic Information System (ITIS)
4301629,Anatrytone logan,species,Delaware Skipper,,Integrated Taxonomic Information System (ITIS)
1949697,Ancyloxypha numitor,species,Least Skipper,,Integrated Taxonomic Information System (ITIS)
5977216,Erynnis horatius,species,Horace's Duskywing,,Integrated Taxonomic Information System (ITIS)
1943982,Polites peckius,species,Peck's Skipper,,Integrated Taxonomic Information System (ITIS)
1950047,Pompeius verna,species,Little Glassywing,,Integrated Taxonomic Information System (ITIS)
1943990,Polites origenes,species,Crossline Skipper,,Integrated Taxonomic Information System (ITIS)
5139029,Satyrium calanus,species,Banded Hairstreak,,Integrated Taxonomic Information System (ITIS)
4300347,Callophrys gryneus,species,Juniper Hairstreak,,Integrated Taxonomic Information System (ITIS)
5132084,Limenitis arthemis,species,Red-spotted Admiral,,Integrated Taxonomic Information System (ITIS)
1925429,Strymon melinus,species,Gray Hairstreak,,Integrated Taxonomic Information System (ITIS)
1925429,Strymon melinus,species,cotton square borer,,Integrated Taxonomic Information System (ITIS)
5977250,Erynnis icelus,species,Dreamy Duskywing,,Integrated Taxonomic Information System (ITIS)
